Algorithm,Map,Cost,Runtime
RRT_Star,test_1,15.079364043787454,2.649118423461914
RRT_Connect,test_1,16.209925799522264,3.249485731124878
RRT_star_with_bspline,test_1,15.252745240581412,3.817143201828003
RRT_with_probability,test_1,17.117251009640892,2.554164171218872
RRT_Star,test_2,13.805287317301666,2.5730936527252197
RRT_Connect,test_2,12.533440217847842,2.543180465698242
RRT_star_with_bspline,test_2,10.50618643426208,3.4476912021636963
RRT_with_probability,test_2,11.788772832494908,2.6571764945983887
RRT_Star,test_3,19.14094095912625,5.931753873825073
RRT_Connect,test_3,19.561712886175993,3.8431198596954346
RRT_star_with_bspline,test_3,17.192282496401592,9.362584352493286
RRT_with_probability,test_3,,
RRT_Star,test_4,11.249179382718532,2.6121633052825928
RRT_Connect,test_4,11.282675882225718,2.582106828689575
RRT_star_with_bspline,test_4,11.089723260435301,2.550482749938965
RRT_with_probability,test_4,15.519133324992731,3.022545576095581
RRT_Star,test_5,27.40412337019342,4.146467685699463
RRT_Connect,test_5,25.5788315078698,4.606068134307861
RRT_star_with_bspline,test_5,,
RRT_with_probability,test_5,25.43440316981657,2.8927175998687744
